record_ID,well_ID,pump_fixed,pump_working,activity_date,village_name,prefecture,Latitude,Longitude,pump_type,sous_prefecture,payment,service_visit_type
19353,A101,oui,oui,02/13/2017,NOLA PERFECTURE,sanghambaere,3.52364,16.04182,india_mark_2,nola,0,
23835,A1011,oui,oui,11/24/2017,BOUAKA 1 A,lobaye,4.021071,17.82643,india_mark_2,mbaiki,0,2017-11-24 09:58:32
27423,A1011,oui,oui,03/26/2018,BOUAKA 1 A,,4.021075,17.82636,india_mark_2,,0,eep
34700,A1011,problem,oui,12/12/2018,BOUAKA 1 A,lobaye,4.021105,17.82639,india_mark_2,mbaiki,0,eep
34745,A1012,oui,non,12/15/2018,YAWA KOLONGO 1,Lobaye,4.348698,17.09183,hpv_60,Boganda,20000,eep
34748,A1013,non,non,12/17/2018,YAWA KOLONGO 1,Lobaye,4.34842,17.09225,india_mark_2,Boganda,0,eep
34763,A1014,non,non,12/18/2018,BOGANDA CAMP SENE,Lobaye,4.27598,17.04799,india_mark_2,Boganda,0,eep
34739,A1015,oui,non,12/15/2018,YAWA CENTRE,Lobaye,4.348207,17.09407,india_mark_2,Boganda,20000,eep
27546,A1017,oui,oui,04/02/2018,BOYO,,4.387669,17.31785,india_mark_2,,0,eep
32046,A1017,non,non,09/20/2018,BOYO,Lobaye,4.387689,17.31792,india_mark_2,Boda,,monitor
32025,A1018,non,non,09/19/2018,BOGALI LOBAYE,Lobaye,4.532553,17.24774,india_mark_2,Boganda,,monitor
27549,A1019,oui,oui,04/02/2018,BOUDJOULA GBAGUERA,,4.492948,17.28178,hydro_india,,0,eep
18258,A102,oui,oui,11/03/2016,TANGA Centre 2,sanghambaere,3.522961,16.05768,hpv_60,nola,0,
19386,A102,oui,oui,02/10/2017,TANGA Centre 2,sanghambaere,3.522987,16.05772,hpv_60,nola,16000,
22737,A102,oui,oui,09/11/2017,TANGA Centre 2,sanghambaere,3.522954,16.05769,hpv_60,nola,12000,
31194,A102,oui,oui,08/08/2018,TANGA Centre 2,sanghambaere,3.522953,16.05767,hpv_60_2000,nola,16000,eep
31989,A1020,oui,oui,09/17/2018,BONAGUERO 1,Lobaye,4.84051,17.19782,india_mark_2,Boganangone,,monitor
31938,A1022,non,non,09/15/2018,BAKALA1B,lobaye,4.875921,17.01409,india_mark_2,boganangone,,monitor
17985,A1024,oui,oui,10/22/2016,SAKOULOU,lobaye,4.131101,18.2433,india_mark_2,mbaiki,0,
21387,A1024,oui,oui,06/16/2017,SAKOULOU,lobaye,4.131035,18.24306,hpv_60,mbaiki,0,
23583,A1024,oui,oui,11/08/2017,SAKOULOU,lobaye,4.130987,18.24309,india_mark_2,mbaiki,0,2017-11-08 07:59:51
26823,A1024,oui,oui,03/07/2018,SAKOULOU,,4.131018,18.24307,india_mark_2,,0,eep
34562,A1024,oui,oui,12/17/2018,SAKOULOU,lobaye,4.130962,18.24312,india_mark_2,mbaiki,0,eep
17988,A1025,oui,oui,10/22/2016,SANGALA 1,lobaye,4.061184,18.20278,hpv_60,mbaiki,0,
