record_ID,Latitude,Longitude,service_visit_type,well_ID,village_name,prefecture,sous_prefecture,wells::mission_id,team_number,activity_date,population_estimate,pop_use,pump_type,pump_working,pump_fixed,payment
44629,6.626068,15.407278,EEP traditionnel,R320,Dole,Ouham Pende,Koui,6,EEP 1,1/19/2020,196,238,Vergnet HPV 60,Oui,Oui,
44632,6.62975,15.405996,EEP traditionnel,R319,Quartier baba lade,Ouham Pende,Koui,6,EEP 1,1/19/2020,250,340,Vergnet HPV 60,"Oui, mais pas correctement",Oui,
44701,6.631367,15.401795,EEP traditionnel,R318,Quartier bomango,Ouham Pende,Koui,6,EEP 1,1/19/2020,217,223,Vergnet HPV 60,"Oui, mais pas correctement",Oui,
44704,6.581119,15.35428,EEP traditionnel,R357,KELLAMOWELE,Ouham Pende,Koui,6,EEP 1,1/19/2020,4024,524,Vergnet HPV 60 2000,"Oui, mais pas correctement",Oui,
44179,4.349955,18.512237,EEP traditionnel,F1848,Mont Carmel 4,Ombella M'Poko,Bimbo,2,EEP 4,1/20/2020,20,10,Vergnet HPV 60,Oui,Oui,
44368,5.580999,18.247764,EEP traditionnel,A2010,Bongangolo Nord,Ombella M'Poko,Bogangolo,OM_Mission_2,EEP 2,1/20/2020,267,45,Vergnet HPV 60,Non,Oui,
44371,5.576666,18.244046,EEP traditionnel,A2011,Bongangolo Ouest,Ombella M'Poko,Bogangolo,OM_Mission_2,EEP 2,1/20/2020,1623,118,Vergnet HPV 60,Oui,Oui,
44374,5.57179,18.249357,EEP traditionnel,A2009,Bongangolo Sud,Ombella M'Poko,Bogangolo,OM_Mission_2,EEP 2,1/20/2020,1253,125,Vergnet HPV 60,Oui,Oui,
44707,7.446099,15.636601,EEP traditionnel,X007,NZAPOIYE,Ouham Pende,NGAOUNDAYE,4,EEP 1,1/20/2020,4970,3278,India MARK 2,"Oui, mais pas correctement",Oui,
44182,4.267303,18.273399,EEP traditionnel,A1027,Bokoumou,Lobaye,Mbaiki,1,EEP 4,1/20/2020,1700,120,India MARK 2,Oui,Oui,
44710,7.460644,15.623841,EEP traditionnel,X008,MAKELE-KODI,Ouham Pende,NGAOUNDAYE,4,EEP 1,1/20/2020,9250,3826,India MARK 2,"Oui, mais pas correctement","Oui, mais pas correctement",
44185,4.238102,18.270152,EEP traditionnel,F1067,Bossongo 1 Bongolet,Lobaye,Mbaiki,1,EEP 4,1/20/2020,450,120,India MARK 2,Oui,Oui,
44377,5.568195,18.250921,EEP traditionnel,X54,Bongangolo landon,Ombella M'Poko,Bongangolo,2,EEP 2,1/20/2020,853,97,India MARK 2,Non,Oui,
